timestamp,telegram_id,delta,new_balance
2025-09-17T02:29:29.048144,383578263,10,1645
2025-09-17T02:29:33.707913,383578263,500,2145
2025-09-17T02:33:29.559935,383578263,-2,2141
2025-09-17T02:35:21.414908,383578263,10,2151
2025-09-17T18:11:40.379160,1094825050,-2,98
2025-09-18T02:50:40.188851,383578263,-2,2149
