epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix
0,0.3266316347104093,16.0,16,True,False,((((((((((((((log((((((x/x))**(3)))**(0.5)))*x))**(0.5)))**(0.5))*x))**(3)))**(3)))**(0.5)))**(3)),[n3 sqrt n3 n3 mul sqrt sqrt mul log sqrt n3 div x x x x]
0,0.40642999239486605,22.0,22,True,False,log(((((((((exp(((x/x)*x))+(x-x))-x))**(-1))+x)*x)-x)+x)),[log add sub mul add inv sub add exp mul div x x x sub x x x x x x x]
0,0.25563043295679533,17.0,17,True,False,(exp(((((((((log(((((x)**(3))*x)/x))/x)/x))**(3)))**(2)))**(2)))-x),[sub exp n2 n2 n3 div div log div mul n3 x x x x x x]
0,0.22835193569428439,9.0,9,True,False,log((((((((((x)**(2)))**(2))-((x)**(-1))))**(-1)))**(3))),[log n3 inv sub n2 n2 x inv x]
0,0.5612965941717921,18.0,18,True,True,((((((((((((exp(x)+exp(x))/x))**(3)))**(0.5))+x)+x)+x))**(0.5))/x),[div sqrt add add add sqrt n3 div add exp x exp x x x x x x]
0,0.6006659142286803,12.0,12,True,True,exp((x/(((log((x/((((x)**(0.5)))**(3))))*x))**(0.5)))),[exp div x sqrt mul log div x n3 sqrt x x]
0,0.3289914746770097,20.0,20,True,False,exp((((((((((((log((((((x)**(2))+x))**(-1))))**(0.5)))**(0.5))/x)+x)*x)/x))**(0.5))-x)),[exp sub sqrt div mul add div sqrt sqrt log inv add n2 x x x x x x x]
0,0.3534762280342982,19.0,19,True,False,((log((((((exp(((((((((((x*x))**(0.5))-x))**(0.5))-x))**(3))+x)))**(0.5))-x))**(-1))))**(0.5)),[sqrt log inv sub sqrt exp add n3 sub sqrt sub sqrt mul x x x x x x]
0,0.32649596568307704,19.0,19,True,False,((x-(exp((((x*((log(x)/x)-x))-x)/x))+x))/x),[div sub x add exp div sub mul x sub div log x x x x x x x]
0,9.725290781677292e-19,15.0,15,True,False,(((((((((((exp(((x)**(3))))**(0.5)))**(3)))**(0.5)))**(3)))**(3))/(exp((x-x))/x)),[div n3 n3 sqrt n3 sqrt exp n3 x div exp sub x x x]
