Parameter,Value
Status,completed
Best Formula,"   ⎛                            2⎞
   ⎜            x + x + (-x + x) ⎟
   ⎜         x⋅ℯ                 ⎟
log⎜-x + x + ────────────────────⎟
   ⎝                  x          ⎠"
R² Score,
Epochs Used,10
Processing Time (ms),25045
Pareto Solutions Count,5
Total Cost,0.02
Configuration Used,config0
Metadata: formula_length,174
Metadata: data_shape,1x8
Metadata: timestamp,2025-09-16T06:17:30.975375
Metadata: is_physical,True
